citing_mag_id	cited_mag_id
101221578	2127009519
101221578	1559020375
101221578	1987157392
101221578	2166987509
101221578	2029282772
102107843	2112861996
102107843	1683174183
102107843	2084134149
102107843	1683174183
102107843	2112861996
102107843	2611970265
102107843	2107223151
102107843	2611970265
102107843	2107223151
102233799	1748293378
102233799	1748293378
102233799	1748293378
102233799	1748293378
102233799	2001004705
102233799	1748293378
102233799	1748293378
102233799	1748293378
102908566	2132996111
102908566	2132996111
102908566	1990431391
102908566	2038946878
102908566	1603180818
102908566	2293190590
102908566	2293190590
102908566	1552658392
102908566	2106792906
102908566	2115864410
102908566	1792465007
102908566	2160679229
102908566	2160679229
102951417	1974339500
102951417	2166347079
102951417	2166347079
102951417	2101390659
102951417	40273907
102951417	1967752093
102951417	2166347079
102951417	2166347079
102951417	2101390659
102951417	40273907
103319791	1542280593
103446013	1592200574
103446013	2035989240
103446013	1590921544
103446013	1592200574
103446013	2107644675
103446013	2107644675
103446013	2611534752
103446013	166962601
103446013	120876264
103446013	2167193261
103824060	1547343665
103824060	1529123589
103824060	1974717737
103824060	2567937305
103824060	2169539710
103824060	1595980070
103824060	2567937305
103824060	2092457003
103824060	1733954365
103824060	2161585659
105773080	105773080
105773080	1510929985
105773080	2085574295
105773080	2085574295
105773080	1672330139
105773080	1510929985
105773080	2085574295
105773080	105773080
105773080	105773080
105856043	1567966566
10597021	2156202195
10597021	2162151798
10597021	1966415964
10597021	2101210369
10597021	2155063582
10597021	1517267840
10597021	2155063582
106869047	112253386
107094761	2301870714
107094761	2007972469
107319054	1971220772
107319054	2176074962
107402462	2085256060
107402462	22702538
107402462	22702538
107402462	22702538
107402462	22702538
108247077	2123084125
108247077	2123084125
108247077	1993934121
108247077	1993934121
108247077	2109018345
110893844	1590937195
110893844	1792465007
110893844	2065814722
110893844	1557431580
111745025	2115167129
111745025	2039938580
111745025	2115167129
111745025	2028339364
111745025	2039938580
111745025	2118119027
111745025	2144637381
111745025	1996333538
111745025	2066972299
111745025	2144637381
111745025	2100969003
111745025	2115167129
111745025	1996333538
111974331	2166776180
111974331	2788827968
112480583	2913739034
112480583	1486487250
112480583	1486487250
112480583	1486487250
112480583	115924709
112480583	2075241709
112606504	12836875
112606504	199321604
112606504	12836875
113724690	2145036943
113724690	1833785989
113724690	2136987143
113724690	1537217019
113724690	1537217019
113724690	1483301080
113724690	1833785989
113724690	2145036943
113724690	1483301080
113724690	1833785989
113724690	2136987143
113724690	1534923958
113724690	144724189
113724690	2114332321
113724690	1833785989
113724690	2136987143
113724690	1517178556
113724690	1483301080
113724690	1833785989
113724690	1483301080
113724690	1537217019
114457371	1517178556
114849522	2035967403
114849522	2035967403
115321406	2084282133
115321406	2012485258
116389474	1965605789
116389474	44751112
116389474	108787144
116389474	2115094368
116389474	2107130271
116389474	2406939670
116389474	2118021410
116389474	2138428415
116389474	2115094368
116389474	37526647
116389474	229329885
116389474	37526647
116569011	2042392351
116569011	2126891226
116569011	2126891226
116569011	2399068511
116569011	2042392351
116569011	2042392351
116569011	2138635570
116569011	2126891226
116569011	2126891226
117128830	2101308260
117128830	2101308260
117128830	2101308260
117128830	2085574295
117128830	1984341203
117128830	2101308260
117128830	2001893812
119592700	2078124036
121216320	2468366690
121324548	2152096446
121324548	2516832321
121324548	2096466920
121324548	2115753373
121324548	2115753373
121324548	1491260788
121324548	1540096175
121324548	2152096446
121324548	2115753373
121324548	2152131859
121324548	1955233831
121324548	2115753373
121324548	89239156
121324548	2137807925
121324548	27605740
121324548	1604397311
121324548	16194962
121324548	2096466920
121324548	2109277847
121324548	89239156
121324548	2162016438
121324548	2137807925
121755497	2019778169
121755497	2048679005
121755497	2249186037
121755497	235704224
121755497	1523245499
121755497	2249186037
121755497	2249186037
121755497	2249186037
1230508195	1597349739
1230508195	2913429122
1230508195	2021208044
1230508195	1551104980
1230508195	2021208044
123239138	2156339099
123239138	2118996379
123239138	1519443010
123239138	1509114999
123239138	1519443010
123239138	2296427152
123239138	2296427152
123239138	219501483
123239138	2118996379
123715776	2386778405
123715776	2386778405
123783395	2081035377
123783395	2150029288
123783395	2150029288
123783395	2135360533
123783395	105761736
1238390741	2103989983
1238390741	2125513361
1238390741	2334724681
1238390741	2334724681
1238390741	2334724681
1238390741	2406939670
1238390741	2103989983
1238390741	2125513361
1238390741	2125513361
124777232	2084713936
124777232	2399068511
124777232	2084713936
124777232	2084713936
124777232	1545136023
124777232	2084713936
126018996	131408576
126018996	131408576
126018996	2063624865
126018996	2732855975
126460219	68015109
126460219	149507900
126460219	1500173901
126460219	1563195174
126460219	107937452
126460219	1577418821
126722120	1840759059
126722120	1840759059
126722120	2005856380
126722120	1971318281
129352658	2611810350
131533222	2129468719
131533222	2118021410
131533222	2140054881
131533222	169068751
131533222	2129468719
131533222	2140054881
131533222	2097611861
131533222	1973923101
131863957	12836875
131863957	12836875
131863957	2007291639
134008268	2143349571
134008268	2163915185
134008268	2155925463
134008268	1540916400
134008268	2161290181
134008268	2161290181
134008268	1597379537
134008268	1979601782
134008268	2133516109
134008268	2315418048
134008268	2135764410
134008268	2315418048
134008268	1560512119
134565599	1974339500
134565599	2087173123
136035420	2101210369
136568931	2904247032
136568931	2055438657
136568931	2171541062
136654564	1546591173
13703775	1991154713
13703775	1991154713
14030242	1520330047
14030242	2057010028
14030242	2057010028
14030242	2029594649
14030242	2104418508
14030242	1509114999
140696013	1854776117
140965239	2081035377
141206687	2063311440
141206687	2077694950
141206687	2158652440
141206687	2063311440
141206687	2063311440
141206687	2063311440
141206687	2063311440
141662576	2114544007
141662576	2105899789
141662576	2169362686
141662576	1588645195
141662576	2143144395
141662576	2124988923
141662576	2104118994
141662576	2124988923
141817608	1486487250
141817608	1486487250
142730124	1926872911
142730124	2168625136
142730124	2155328222
142730124	1951269370
142730124	1998442272
142730124	1998442272
146925317	1509470849
146925317	1509470849
146925317	1509470849
146925317	1509470849
146925317	1509470849
146925317	1509470849
147273232	2170469979
147273232	2121127625
147273232	2170469979
147273232	2104118994
147273232	47692894
147273232	2149660837
147273232	2121127625
147273232	2107425660
147273232	2105038653
147290297	1563835077
147290297	129924514
147290297	2142123839
147290297	2104706528
147290297	6878061
147290297	1999617572
147290297	1563835077
147290297	6878061
147290297	1980183365
147290297	1980183365
147779785	2083380015
147779785	2083380015
147779785	2083380015
1479669738	2183473391
1479669738	1963587568
1479669738	1658658360
1479669738	1504046386
1479669738	1963587568
1479669738	1989477667
1479669738	2116316001
1479669738	2116316001
1479669738	2130640821
1479669738	2139424692
1479912259	2121147707
1479912259	2121147707
1479912259	2120973168
1479912259	2100935296
148039595	2335925837
148039595	1484084878
148039595	2063862666
148039595	1620204465
148039595	2034953016
148039595	1586882342
148039595	2002857471
148039595	1586882342
148039595	2084134149
148039595	1484084878
148039595	2063862666
148039595	2005422315
148039595	1620204465
148039595	1585610988
1480519300	2117652747
1480519300	2075728986
1480519300	2547062585
1480519300	1489181569
1480519300	1576928919
1480519300	2075728986
1480519300	2081206354
1480519300	2117652747
1480519300	2075728986
1480519300	2117652747
1480519300	2075728986
1480519300	2117652747
1480530335	2152096446
1480530335	2151157246
1481446776	1513168555
1481446776	1513168555
1481961832	2035967403
1481961832	2116780029
1481961832	2100377551
1481961832	2100377551
1482114536	2168119002
1482114536	2083305840
1482114536	1552347366
1482333562	2090247206
1482333562	2090247206
1482333562	1792465007
1482333562	1975674805
1482333562	2090247206
1482333562	2090247206
1482333562	1900721122
1482750452	1605873790
1482931685	1995504560
1482931685	1489742839
1482931685	1995504560
1482931685	2098675820
1482931685	1489742839
1482931685	1995504560
1482931685	2098675820
1482931685	2117803035
1482931685	1980351672
1482931685	1995504560
1482931685	2033768803
1482931685	2070016268
1482931685	1995504560
1482931685	131408576
1482931685	2070016268
1482931685	2026161499
1483543726	2136309948
1483543726	2167435923
1483543726	2110882317
1483543726	2127713198
1483543726	2131297983
1483543726	2120814856
1483543726	1981082061
1483543726	1981082061
1483543726	2096175520
1483987101	192124442
1483987101	2162564004
1483987101	2151157246
1483987101	2162564004
1483987101	192124442
1484184065	2528266089
1484184065	2528266089
1484184065	2169064355
1484184065	36118505
1484926454	2085574295
1485106551	1589292604
1485106551	2115942597
1485106551	172843846
1485106551	1589292604
1485106551	1589292604
1485106551	1589292604
1485106551	172843846
1485106551	172843846
1485106551	1578262194
1485106551	1493195384
1485106551	2136374365
1485106551	2146213370
1485106551	2146213370
1485106551	2146213370
1485106551	2131245519
1485106551	2198844692
1485796357	2597878819
1485796357	2127200155
1486247954	2013406341
1486247954	2013406341
1486247954	2013406341
1487140208	2159999077
1487140208	2159999077
1487140208	2159999077
1487140208	2159999077
1487140208	2159999077
1487140208	2159999077
1487140208	2159999077
1487929871	2614086960
1487929871	2037740282
1487929871	35945539
1487929871	2100969003
1487929871	2037740282
1487929871	2032235985
1487929871	1927028487
1487929871	1927028487
1487929871	2900948622
148837118	2161066292
1488520124	2014106036
1489974413	2611810350
1489974413	1622422412
1490831147	235704224
1490831147	618968
1490831147	302696873
1490831147	302696873
1490831147	235704224
1490831147	302696873
1490937814	2105487377
1490937814	2105487377
1490937814	2096466920
1490937814	2096466920
1490937814	1578080758
